Comment,Designator,Footprint,LCSC Part #
0,R19,RESC1608X60,
0.1u,C7 C8,CAPC1608X85,C14663
1u,C1 C2 C3,CAPC1608X85,C15849
2.2u,C6 C13 C14,CAPC1608X85,C23630
10k,R12 R13 R14 R15 R17 R21,RESC1608X60,C25804
50,R4 R5 R6 R7 R8 R9,RESC1608X60,C23185
DRV8300DIPWRTSSOP_0DIPWR_TEX-L,U1,TSSOP_0DIPWR_TEX-L,
LED_BLUE,D1,LEDC1608X35N_FLAT-B,C2290
MCP1792T-3302H/CBSOT-23A_CB_MCH-L,U3,SOT-23A_CB_MCH-L,
SH8KA4TBTRANS_RRH040P_ROM-L,R1 R2 R3,TRANS_RRH040P_ROM-L,
STM32F411CEU6UFQFPN-48_7X7X0P55MM-L,U4,UFQFPN-48_7X7X0P55MM-L,C60420
