Designator,Mid X,Mid Y,Layer,Rotation
C1,-7.00,-3.00,Top,180.0
C2,-7.00,-5.00,Top,0.0
C3,-7.00,-7.00,Top,0.0
C6,-3.00,-10.00,Top,270.0
C7, 2.00,-13.42,Top,180.0
C8,-1.00,-10.00,Top,270.0
C13,-13.00,-13.00,Top,0.0
C14,-16.92,-9.00,Top,270.0
D1,-3.00,-13.45,Top,0.0
R1, 6.60, 8.20,Top,270.0
R2, 0.00, 8.25,Top,270.0
R3,-6.50, 8.20,Top,270.0
R4,15.00, 7.00,Top,180.0
R5,12.00, 7.00,Top,0.0
R6,-8.00,14.00,Top,270.0
R7,15.00, 5.00,Top,180.0
R8,12.00, 5.00,Top,0.0
R9,-10.00,14.00,Top,270.0
R12,-7.00,-13.42,Top,0.0
R13,12.00,-5.00,Top,0.0
R14,13.00,-12.00,Top,270.0
R15, 7.00,16.69,Top,90.0
R17,-7.00,17.00,Top,0.0
R19,-16.92, 2.00,Top,90.0
R21,-10.00,17.00,Top,0.0
U1, 0.00,-2.00,Top,90.0
U3,-13.00,-9.00,Top,0.0
U4, 7.00,-9.00,Top,225.0
